FECHA;CARRIER_ORIGEN;RUTA_ORIGEN;ASR_REAL;CALLS_TOTAL;CALLS_OK;MINUTOS;AVG_CALL
2026-06-05;TELECOM ARGENTINA S.A.;POI-ESCOBAR-SIP-ENT;0;1;0;0;0
2026-06-05;CALL AND CONTACT CENTER S.R.L.;1898462-ENT;100;1;1;0,13;0,13
2026-06-05;IPLAN PRUEBAS WHOLESALE;408165-ENT;0;1;0;0;0
2026-06-05;TELECOM ARGENTINA S.A.;POI-ZARATE-SIP-ENT;0;1;0;0;0
2026-06-04;LINEIP S.R.L.;13097620-PX8-ENT;55,28;3005093;958187;151156,23;0,16
2026-06-04;INCEPTIA SRL;13092380-PX8-ENT;75,42;780057;439071;45205,42;0,1
2026-06-04;IMPRUNETA S.A;1673727-ENT;20,97;750451;114711;18129,67;0,16
2026-06-04;INQUESTA SRL EN FORMACION;13101225-PX8_ENT;10,96;431228;16180;2567,97;0,16
2026-06-04;BICENTEL, LLC;1979876-ENT;71,77;381841;126504;79390;0,63
2026-06-04;MARTINEZ MAXIMILIANO ALBERTO;1958745-ENT;33,53;366703;105648;13017,87;0,12
2026-06-04;BAPRO MEDIOS DE PAGO  S.A.;1831755-ENT;43,78;362797;75193;38446,05;0,51
2026-06-04;DIRECTV ARGENTINA SOCIEDAD ANONIMA;1735295-ENT;74,97;347694;189450;21458,92;0,11
2026-06-04;THE CHAPEAU SRL;13096781-PX8-ENT;60,24;311792;106922;16783,62;0,16
2026-06-04;NSS S.A.;ACME-RETAIL-IN;77,3;272808;144658;81366,62;0,56
2026-06-04;KLEVA TECH;13100368-PX8-ENT;66,79;238435;105627;16827,63;0,16
2026-06-04;MARTINEZ MAXIMILIANO ALBERTO;2098163-ENT;14,91;196377;5632;1897,88;0,34
2026-06-04;GSA COLLECTIONS ARGENTINA SA;2354840-ENT;51,38;190261;66891;6595,08;0,1
2026-06-04;SUIVANT SA;13093020-CC-ENT;30,95;185265;45964;2248,27;0,05
2026-06-04;EASY CALL SA;2134652-ENT;78,62;178324;86127;10148,53;0,12
2026-06-04;TELEFONICA DE ARGENTINA S.A.;TASA-AMBA-SIP-ENT;88,2;174362;130379;521737,02;4
2026-06-04;CALL UP SA;2800288-Px8-ENT;71,68;170293;72656;16843,95;0,23
2026-06-04;IPLAN INTERNATIONAL BUSINESS INC.;2098836-ENT;58,8;165258;35213;9224,68;0,26
2026-06-04;ASISTENCIA LEGAL INTEGRAL SRL;2707742-Px8-ENT;54,23;158756;71641;12797,52;0,18
2026-06-04;ANA MAYA SA;1824217-PRE8-ENT;71,02;156565;47945;8032,75;0,17
2026-06-04;IDT CORPORATION DE ARGENTINA S.A.;1594593-ENT;51,72;153819;41307;4407,53;0,11
2026-06-04;TELECOM ARGENTINA S.A.;TECO-AMBA-SIP-ENT;75,98;132868;81975;286998,52;3,5
