FECHA;CARRIER_DESTINO;RUTA_DESTINO;ASR_REAL;CALLS_TOTAL;CALLS_OK;MINUTOS;AVG_CALL
2026-06-06;BT LATAM ARGENTINA S.A. a borrar;BTLATAM-LD-Saliente;97,99;969;439;62,92;0,14
2026-06-06;CAT TECHNOLOGIES ARGENTINA SOCIEDAD ANONIMA;CATDID-SAL;100;853;852;570,15;0,67
2026-06-06;BERGAGNA CARLOS SEBASTIAN;BERGAGNA-0800-SAL;14,94;813;121;310,02;2,56
2026-06-06;GLOBAL PROCESSING SA;1636352-SAL;100;792;694;600,7;0,87
2026-06-06;LEVEL 3;LEVEL3-LO-SAL;94,55;774;625;1042,15;1,67
2026-06-06;ORANGE BUSINESS SERVICES ARGENTINA SA;ORANGE-800SIP-SAL;100;733;727;4930,48;6,78
2026-06-06;AGINET S.A.;AGINET-08XX-SAL;100;683;45;95,93;2,13
2026-06-06;CREDICUOTAS CONSUMO S.A.;13088519-SAL;100;665;566;1277,57;2,26
2026-06-06;TELEGLOBE;TATA-DID-SAL;99,66;643;594;1102,68;1,86
2026-06-06;TELECOM ARGENTINA S.A.;POI-SLORENZO-SIP-SAL;75,42;632;181;37,6;0,21
2026-06-06;NSS S.A.;Voipack-genesys-out;100;615;611;1904,4;3,12
2026-06-06;THE CHAPEAU SRL;13096781-PX8-SAL;0;501;0;0;0
2026-06-06;ALLEVA CLAUDIO HECTOR;1505281-SAL;94,59;487;437;1260,63;2,88
2026-06-06;CENTRO INTERACCION MULTIMEDIA SA;APEX-DID-SAL;100;462;408;1229,22;3,01
2026-06-06;TELETEL S. A.;TELETEL-08XX-SAL;98,61;422;283;1769,57;6,25
